,released,year,age,sex,employed,citizen,checks
607,Yes,1999,27,Male,Yes,Yes,1
608,Yes,1998,19,Male,Yes,Yes,0
609,Yes,2001,33,Male,Yes,Yes,0
610,No,1997,47,Male,Yes,No,1
611,Yes,2001,16,Female,No,Yes,0
612,Yes,2001,24,Male,Yes,Yes,1
613,Yes,2000,41,Male,Yes,Yes,3
614,Yes,1999,19,Male,Yes,Yes,0
615,Yes,2000,22,Male,No,Yes,0
616,Yes,1997,22,Male,No,No,4
617,Yes,1999,54,Male,Yes,Yes,2
618,Yes,2000,15,Male,Yes,Yes,1
619,No,2001,35,Male,No,Yes,4
620,Yes,2000,19,Male,Yes,No,0
621,Yes,1997,31,Male,No,No,4
622,Yes,1999,21,Female,Yes,Yes,0
623,Yes,2000,20,Male,Yes,Yes,0
624,Yes,2000,21,Male,Yes,Yes,0
625,Yes,2000,22,Male,Yes,Yes,4
626,Yes,1997,15,Male,Yes,No,2
627,Yes,1998,38,Male,Yes,No,1
628,Yes,1997,19,Male,Yes,Yes,3
629,Yes,2001,17,Male,Yes,Yes,1
630,No,2001,19,Male,No,Yes,5
631,Yes,1999,40,Male,No,No,3
632,Yes,2001,21,Male,Yes,Yes,1
633,Yes,2000,26,Male,Yes,Yes,1
634,Yes,1997,18,Male,Yes,No,3
635,Yes,1997,26,Male,Yes,Yes,2
636,No,2000,17,Male,No,Yes,4
637,Yes,1998,44,Male,Yes,Yes,0
638,Yes,1998,25,Male,No,Yes,0
639,Yes,2000,18,Male,No,No,4
640,Yes,2002,19,Male,Yes,Yes,0
641,Yes,1999,31,Male,No,Yes,1
642,Yes,2001,26,Female,Yes,Yes,0
643,Yes,2001,35,Male,Yes,Yes,0
644,Yes,1999,19,Male,Yes,Yes,0
645,Yes,1998,22,Male,Yes,Yes,3
646,Yes,2000,16,Male,Yes,Yes,0
647,Yes,1997,15,Male,Yes,No,5
648,Yes,1997,26,Male,Yes,No,0
649,Yes,2001,20,Male,No,Yes,3
650,Yes,2000,24,Male,Yes,Yes,0
651,No,1999,28,Male,Yes,Yes,3
652,Yes,1999,24,Male,Yes,Yes,2
653,No,1999,26,Male,No,No,3
654,Yes,1997,30,Male,Yes,No,4
655,Yes,1999,16,Male,Yes,Yes,0
656,Yes,2001,17,Male,Yes,Yes,0
657,Yes,2001,15,Male,Yes,Yes,0
658,Yes,2001,17,Male,Yes,Yes,0
659,Yes,1999,20,Male,Yes,Yes,1
660,Yes,2001,35,Male,Yes,Yes,1
661,Yes,2000,26,Male,No,Yes,3
662,No,2000,27,Male,Yes,Yes,3
663,Yes,1997,27,Male,Yes,Yes,2
664,No,2001,17,Male,Yes,Yes,0
665,Yes,2001,42,Male,Yes,Yes,3
666,Yes,1999,37,Male,Yes,Yes,2
667,Yes,2001,40,Male,Yes,Yes,1
668,No,1998,17,Male,Yes,Yes,1
669,No,2000,20,Female,Yes,Yes,5
670,Yes,2001,19,Female,Yes,Yes,0
671,Yes,2000,30,Male,No,Yes,1
672,Yes,1998,16,Male,Yes,No,0
673,Yes,1997,19,Male,Yes,No,4
674,Yes,1999,17,Male,No,Yes,4
675,Yes,2001,14,Male,Yes,Yes,0
676,Yes,1998,14,Male,No,Yes,0
677,Yes,1998,14,Male,Yes,Yes,3
678,Yes,2001,24,Male,Yes,Yes,0
679,Yes,1999,19,Male,No,Yes,4
680,Yes,2000,17,Male,Yes,Yes,2
681,Yes,2000,27,Male,Yes,Yes,0
682,Yes,1999,19,Male,Yes,Yes,3
683,Yes,1998,20,Male,Yes,Yes,2
684,Yes,2000,36,Male,Yes,Yes,1
685,Yes,2001,17,Male,No,Yes,4
686,No,2000,37,Male,Yes,No,1
687,Yes,2000,32,Male,Yes,Yes,0
688,Yes,2000,15,Male,Yes,Yes,2
689,Yes,1999,20,Male,Yes,Yes,0
690,Yes,1999,25,Male,Yes,Yes,5
691,Yes,1998,18,Male,Yes,Yes,2
692,Yes,2000,23,Male,Yes,No,0
693,Yes,1999,18,Male,Yes,Yes,1
694,Yes,1999,18,Male,Yes,Yes,1
695,Yes,1998,16,Male,Yes,Yes,2
696,No,2000,16,Male,Yes,Yes,3
697,Yes,1998,20,Male,Yes,Yes,1
698,Yes,2001,16,Male,No,Yes,4
699,No,2000,19,Male,No,Yes,4
700,No,2000,19,Male,No,Yes,4
701,No,2000,24,Male,Yes,Yes,5
702,No,1999,19,Female,Yes,Yes,2
703,No,2001,22,Female,No,No,0
704,No,2001,22,Female,No,No,0
705,No,1999,39,Male,Yes,Yes,2
706,Yes,2000,19,Male,Yes,Yes,0
707,Yes,2001,16,Male,Yes,Yes,2
708,Yes,2001,18,Male,No,Yes,1
709,No,1998,46,Male,Yes,Yes,4
710,No,2000,20,Male,No,Yes,4
711,Yes,1999,19,Male,Yes,Yes,1
712,Yes,1999,29,Male,Yes,Yes,2
713,No,1998,21,Male,Yes,Yes,0
714,Yes,2001,18,Female,Yes,Yes,2
715,No,2001,22,Male,Yes,Yes,4
716,Yes,2001,28,Male,Yes,Yes,3
717,Yes,1998,23,Male,Yes,Yes,1
718,No,2001,34,Male,No,Yes,0
719,Yes,2000,21,Male,No,Yes,2
720,Yes,1998,18,Male,Yes,Yes,0
721,Yes,1999,20,Male,Yes,Yes,0
722,Yes,2001,18,Male,Yes,Yes,1
723,Yes,1998,22,Male,Yes,Yes,0
724,Yes,1997,22,Male,Yes,No,0
725,Yes,1998,36,Male,Yes,Yes,0
726,No,2000,18,Female,Yes,Yes,0
727,Yes,2001,18,Male,No,Yes,3
728,Yes,1998,25,Male,Yes,Yes,1
729,No,1998,25,Male,Yes,No,0
730,Yes,2000,19,Male,Yes,Yes,0
731,Yes,2001,34,Male,Yes,Yes,1
732,Yes,2001,22,Male,No,Yes,3
733,Yes,2002,21,Male,No,Yes,0
734,Yes,2000,23,Male,Yes,Yes,2
735,Yes,2001,21,Female,Yes,Yes,0
736,Yes,2000,20,Male,Yes,Yes,0
737,Yes,1999,20,Male,Yes,No,0
738,No,1999,33,Male,No,Yes,3
739,Yes,2001,18,Male,Yes,Yes,1
740,Yes,1999,29,Male,No,No,1
741,No,1999,18,Male,Yes,Yes,4
742,Yes,1999,34,Male,No,No,0
743,Yes,2001,20,Male,Yes,Yes,4
744,Yes,2001,54,Male,Yes,Yes,3
745,Yes,1998,22,Male,Yes,Yes,0
746,Yes,1997,20,Male,Yes,No,0
747,Yes,2000,33,Female,No,Yes,4
748,Yes,1999,34,Male,Yes,Yes,4
749,Yes,1999,23,Male,Yes,Yes,0
750,Yes,2001,28,Male,Yes,Yes,1
751,Yes,1999,21,Male,Yes,Yes,2
752,Yes,1998,47,Male,No,No,2
753,No,2001,15,Male,Yes,Yes,3
754,Yes,2002,17,Male,Yes,No,4
755,Yes,2001,38,Male,Yes,Yes,4
756,Yes,1997,30,Male,No,Yes,3
757,No,2002,22,Male,Yes,Yes,4
758,Yes,2001,16,Male,Yes,Yes,2
759,Yes,2002,20,Female,Yes,Yes,0
760,Yes,2001,14,Male,Yes,Yes,1
761,Yes,1998,33,Male,Yes,Yes,2
762,Yes,1999,29,Male,No,No,1
763,Yes,1998,27,Male,Yes,Yes,4
764,No,2002,36,Male,Yes,Yes,3
765,Yes,2002,24,Male,Yes,Yes,4
766,Yes,2000,18,Male,Yes,Yes,2
767,Yes,2001,19,Female,Yes,Yes,0
768,Yes,1999,19,Male,Yes,Yes,0
769,Yes,2001,18,Male,Yes,Yes,3
770,Yes,2001,19,Male,Yes,Yes,0
771,Yes,2000,18,Male,No,Yes,0
772,Yes,1999,29,Male,Yes,Yes,1
773,Yes,2001,29,Male,No,Yes,0
774,Yes,1999,22,Male,Yes,Yes,2
775,Yes,1998,17,Male,Yes,Yes,0
776,Yes,1998,24,Male,Yes,Yes,1
777,Yes,1999,29,Male,Yes,Yes,0
778,No,1997,29,Female,Yes,Yes,0
779,Yes,1999,34,Male,No,Yes,1
780,Yes,1997,19,Male,Yes,No,2
781,Yes,1997,17,Male,Yes,No,5
782,Yes,2001,37,Male,Yes,Yes,3
783,Yes,1997,16,Female,Yes,No,3
784,Yes,1999,19,Male,Yes,Yes,4
785,Yes,2000,26,Male,Yes,Yes,1
786,Yes,1998,17,Male,Yes,Yes,0
787,Yes,2000,23,Male,Yes,Yes,0
788,Yes,1999,15,Male,No,Yes,0
789,No,1999,22,Male,No,Yes,0
790,Yes,1997,20,Male,Yes,No,1
791,Yes,2001,31,Male,Yes,No,0
792,No,2000,20,Male,Yes,Yes,3
793,Yes,2001,30,Male,Yes,Yes,2
794,Yes,2000,16,Male,Yes,Yes,3
795,Yes,1998,18,Male,No,Yes,2
796,Yes,2000,41,Male,Yes,Yes,2
797,Yes,1999,15,Male,Yes,Yes,2
798,Yes,1997,29,Male,No,No,4
799,Yes,2000,18,Male,Yes,Yes,1
800,Yes,2001,20,Male,Yes,Yes,0
801,No,2000,21,Female,No,Yes,4
802,Yes,2000,23,Male,Yes,Yes,1
803,No,2001,21,Male,Yes,No,3
804,Yes,2002,21,Male,Yes,No,0
805,Yes,1999,18,Male,Yes,Yes,0
806,Yes,2001,19,Male,Yes,Yes,1
807,Yes,1999,35,Male,Yes,Yes,0
808,Yes,1999,20,Male,Yes,Yes,3
809,Yes,2000,17,Male,Yes,Yes,3
810,Yes,1999,28,Male,Yes,No,0
811,Yes,2000,21,Female,Yes,Yes,0
812,Yes,2000,19,Male,Yes,Yes,1
813,Yes,1999,26,Male,Yes,Yes,0
814,Yes,1998,26,Male,Yes,No,3
815,Yes,2001,29,Male,Yes,No,2
816,No,2002,45,Male,Yes,Yes,0
817,Yes,2001,18,Male,Yes,Yes,2
818,No,2001,16,Male,Yes,Yes,0
819,Yes,2000,16,Male,Yes,Yes,0
820,Yes,2001,17,Male,Yes,Yes,3
821,Yes,1999,29,Female,Yes,Yes,1
822,Yes,1998,14,Male,Yes,Yes,3
823,Yes,2000,22,Male,No,Yes,2
824,Yes,2000,23,Male,Yes,Yes,3
825,Yes,1998,25,Male,Yes,Yes,0
826,Yes,2000,17,Male,Yes,Yes,0
827,Yes,1999,16,Male,Yes,No,0
828,Yes,2001,26,Male,Yes,Yes,0
829,No,1998,27,Female,Yes,Yes,0
830,No,1999,41,Male,Yes,Yes,3
831,No,1999,41,Male,Yes,Yes,3
832,Yes,1997,36,Male,Yes,Yes,1
833,Yes,2001,19,Male,Yes,Yes,0
834,Yes,1998,16,Male,Yes,Yes,1
835,Yes,1998,14,Male,Yes,Yes,1
836,Yes,2001,20,Male,Yes,Yes,1
837,Yes,1999,19,Male,Yes,Yes,0
838,Yes,2000,35,Male,Yes,Yes,2
839,No,2001,26,Male,Yes,Yes,1
840,No,1999,20,Male,No,Yes,3
841,Yes,1998,21,Male,Yes,Yes,1
842,No,2001,16,Male,Yes,Yes,1
843,Yes,1999,17,Male,Yes,Yes,0
844,No,1997,36,Male,No,Yes,4
845,Yes,1999,19,Male,Yes,Yes,0
846,No,1999,28,Male,Yes,Yes,1
847,Yes,1999,18,Male,Yes,Yes,2
848,Yes,1998,38,Male,Yes,No,0
849,Yes,2000,20,Female,Yes,Yes,0
850,Yes,1999,17,Male,Yes,Yes,0
851,Yes,2000,19,Male,Yes,Yes,1
852,Yes,1999,20,Male,Yes,Yes,0
853,No,1998,15,Male,Yes,Yes,4
854,Yes,2001,16,Male,Yes,Yes,0
855,Yes,2000,24,Male,Yes,Yes,3
856,No,1999,18,Male,Yes,Yes,4
857,Yes,1997,19,Male,Yes,No,2
858,No,1999,18,Male,No,Yes,4
859,No,2001,19,Male,No,Yes,4
860,Yes,1998,20,Male,Yes,Yes,4
861,Yes,1999,24,Female,Yes,Yes,4
862,Yes,2002,16,Female,Yes,Yes,0
863,No,2001,27,Male,Yes,No,3
864,Yes,2000,21,Male,Yes,Yes,0
865,Yes,2001,17,Male,Yes,No,0
866,Yes,2001,64,Male,Yes,No,3
867,Yes,2001,31,Male,No,Yes,1
868,Yes,1998,20,Male,Yes,Yes,1
869,Yes,2001,15,Male,Yes,Yes,1
870,Yes,2000,18,Male,Yes,Yes,3
871,Yes,2000,22,Male,Yes,No,1
872,Yes,2000,16,Male,Yes,Yes,0
873,Yes,2000,19,Male,No,Yes,4
874,Yes,1998,42,Male,Yes,Yes,0
875,Yes,1999,38,Male,Yes,Yes,3
876,Yes,2001,19,Male,Yes,Yes,0
877,Yes,2000,18,Male,Yes,Yes,2
878,Yes,1999,31,Male,Yes,Yes,5
879,Yes,1998,22,Male,No,Yes,4
880,Yes,2001,19,Male,No,Yes,2
881,Yes,1997,32,Female,No,Yes,2
882,Yes,2000,20,Male,Yes,No,2
883,Yes,1998,18,Male,Yes,No,2
884,Yes,2000,26,Male,No,Yes,2
885,Yes,2002,27,Male,Yes,Yes,3
886,Yes,2001,15,Male,Yes,Yes,0
887,Yes,1999,18,Male,Yes,Yes,1
888,Yes,1999,23,Male,No,Yes,0
889,Yes,1997,18,Male,Yes,No,3
890,Yes,2001,18,Male,No,Yes,3
891,Yes,2000,20,Male,Yes,No,4
892,Yes,2001,20,Male,Yes,Yes,3
893,Yes,2001,24,Male,Yes,Yes,0
894,Yes,1997,18,Male,Yes,No,0
895,Yes,1997,22,Male,No,Yes,1
896,Yes,2002,20,Male,Yes,Yes,0
897,Yes,2000,17,Male,No,Yes,0
898,Yes,2000,19,Male,Yes,Yes,2
899,Yes,1997,47,Male,Yes,No,2
900,Yes,1999,38,Male,Yes,Yes,4
901,Yes,1999,36,Female,Yes,No,0
902,No,1998,25,Male,Yes,Yes,0
903,No,1999,29,Male,No,Yes,3
904,No,1999,17,Male,Yes,Yes,0
905,No,2000,15,Male,Yes,Yes,3
906,Yes,2000,25,Male,Yes,Yes,1
907,Yes,1997,18,Male,Yes,Yes,1
908,Yes,2001,20,Male,No,Yes,0
909,No,2001,29,Male,No,Yes,4
910,Yes,1999,17,Male,Yes,Yes,0
911,No,1999,18,Male,Yes,Yes,0
912,Yes,2000,30,Male,No,Yes,2
913,Yes,2001,23,Male,Yes,Yes,2
914,Yes,2000,51,Male,No,Yes,4
915,No,2001,35,Male,Yes,Yes,4
916,No,1999,41,Male,No,Yes,3
917,Yes,2000,18,Male,Yes,Yes,4
918,Yes,1999,26,Male,Yes,Yes,2
919,Yes,2000,22,Male,Yes,Yes,3
920,Yes,2001,23,Male,Yes,Yes,1
921,Yes,2000,17,Male,Yes,Yes,0
922,Yes,2001,38,Male,Yes,Yes,3
923,Yes,2000,27,Male,Yes,Yes,2
924,No,1997,22,Male,Yes,No,3
925,No,1999,20,Male,No,Yes,3
926,Yes,1997,51,Male,Yes,No,2
927,Yes,1999,21,Male,No,No,0
928,Yes,2001,18,Male,Yes,Yes,1
929,Yes,2000,33,Male,Yes,Yes,3
930,Yes,1998,38,Female,Yes,Yes,0
931,Yes,2000,33,Male,No,No,4
932,No,2001,19,Male,Yes,Yes,4
933,No,1998,34,Male,No,Yes,4
934,Yes,1999,17,Male,Yes,Yes,0
935,Yes,1998,37,Male,No,Yes,3
936,Yes,2002,19,Male,No,Yes,0
937,Yes,2001,22,Male,Yes,Yes,3
938,No,2000,17,Male,Yes,Yes,4
939,Yes,1997,21,Male,Yes,No,3
940,Yes,1999,24,Male,Yes,Yes,2
941,Yes,2001,39,Male,No,Yes,2
942,Yes,2001,14,Male,Yes,Yes,1
943,Yes,1998,23,Male,Yes,Yes,2
944,Yes,2000,24,Male,Yes,Yes,1
945,Yes,1998,22,Male,Yes,No,0
946,Yes,2001,18,Male,Yes,Yes,1
947,Yes,1999,24,Male,Yes,Yes,0
948,No,1998,25,Male,No,No,4
949,Yes,2000,49,Female,Yes,Yes,0
950,Yes,2001,26,Male,Yes,Yes,0
951,Yes,2001,18,Male,Yes,Yes,1
952,Yes,1998,18,Male,Yes,Yes,4
953,Yes,1998,50,Male,Yes,Yes,0
954,No,2001,28,Female,Yes,Yes,3
955,No,2002,17,Female,Yes,Yes,0
956,Yes,2001,18,Male,Yes,Yes,1
957,Yes,2000,19,Male,No,Yes,2
958,Yes,2002,18,Male,Yes,Yes,3
959,No,1997,19,Male,No,No,5
960,Yes,1998,17,Female,Yes,Yes,2
961,No,2000,18,Male,Yes,No,3
962,Yes,1998,32,Male,Yes,Yes,3
963,Yes,2001,51,Male,No,No,3
964,No,2000,27,Male,Yes,Yes,0
965,Yes,1998,23,Male,Yes,Yes,0
966,Yes,1999,24,Male,Yes,Yes,3
967,Yes,1998,17,Male,Yes,No,0
968,Yes,1998,17,Male,Yes,Yes,4
969,No,2000,19,Female,No,Yes,2
970,Yes,1999,33,Male,Yes,Yes,3
971,Yes,1998,18,Male,Yes,Yes,0
972,Yes,2001,17,Male,Yes,Yes,0
973,Yes,2001,24,Male,Yes,Yes,0
974,Yes,1998,16,Male,Yes,Yes,3
975,No,1997,19,Male,Yes,No,1
976,Yes,2001,40,Female,No,Yes,3
977,Yes,1997,25,Male,No,No,3
978,Yes,1997,18,Male,No,Yes,2
979,Yes,2000,39,Male,Yes,Yes,1
980,Yes,1998,16,Male,No,Yes,1
981,Yes,1999,25,Female,Yes,Yes,4
982,Yes,2000,30,Male,Yes,Yes,0
983,Yes,2001,17,Male,Yes,Yes,0
984,Yes,2001,16,Male,Yes,Yes,3
985,Yes,2000,20,Male,Yes,Yes,1
986,Yes,1997,33,Male,Yes,No,3
987,No,2001,22,Female,Yes,Yes,0
988,Yes,1998,17,Male,Yes,Yes,0
989,Yes,2000,38,Male,No,Yes,1
990,Yes,1999,31,Female,Yes,Yes,1
991,Yes,2000,22,Male,Yes,Yes,2
992,Yes,2000,18,Male,Yes,Yes,0
993,Yes,1998,16,Male,Yes,Yes,4
994,Yes,1997,16,Male,Yes,Yes,0
995,Yes,1999,19,Male,No,Yes,2
996,Yes,2000,18,Male,Yes,Yes,0
997,Yes,2001,24,Male,Yes,Yes,3
998,Yes,2002,18,Male,Yes,No,3
999,Yes,2002,51,Male,No,Yes,0
1000,Yes,2001,45,Male,Yes,Yes,3
1001,Yes,1998,19,Male,Yes,Yes,5
1002,Yes,2002,19,Male,Yes,Yes,3
1003,Yes,1998,32,Male,No,Yes,2
1004,Yes,1997,21,Male,Yes,Yes,2
1005,Yes,2002,26,Male,Yes,Yes,0
1006,Yes,2002,15,Male,Yes,Yes,2
1007,Yes,1999,22,Male,Yes,Yes,0
1008,Yes,2001,15,Male,Yes,Yes,2
1009,No,2000,18,Male,Yes,No,0
1010,No,2000,19,Male,Yes,Yes,0
1011,Yes,2000,20,Male,No,Yes,0
1012,Yes,2000,22,Male,No,No,3
1013,Yes,2001,20,Female,Yes,Yes,0
1014,Yes,1998,19,Male,No,Yes,4
1015,Yes,2000,28,Male,Yes,Yes,2
1016,Yes,2001,34,Male,Yes,Yes,0
1017,Yes,2001,16,Male,Yes,Yes,4
1018,Yes,2000,20,Male,Yes,Yes,0
1019,Yes,1998,39,Female,Yes,Yes,1
1020,No,2001,22,Male,No,No,4
1021,Yes,2002,41,Male,Yes,Yes,2
1022,Yes,2000,19,Male,Yes,Yes,3
1023,Yes,2001,18,Male,Yes,Yes,3
1024,Yes,2002,20,Female,Yes,Yes,0
1025,Yes,2000,16,Male,Yes,Yes,1
1026,Yes,2001,26,Male,Yes,Yes,0
1027,Yes,2000,18,Male,Yes,Yes,2
1028,No,2002,36,Male,Yes,Yes,3
1029,Yes,2001,18,Male,No,Yes,1
1030,Yes,1999,19,Male,No,Yes,0
1031,Yes,2001,23,Male,Yes,Yes,2
1032,Yes,1998,20,Female,Yes,Yes,0
1033,Yes,2000,17,Male,Yes,Yes,0
1034,Yes,2000,40,Male,Yes,Yes,3
1035,Yes,2000,17,Male,Yes,Yes,0
1036,Yes,2001,16,Female,Yes,Yes,0
1037,Yes,2000,66,Male,Yes,Yes,2
1038,Yes,2000,19,Male,Yes,Yes,1
1039,Yes,1998,24,Male,Yes,No,1
1040,Yes,2000,16,Female,Yes,Yes,5
1041,Yes,1999,32,Male,Yes,Yes,4
1042,Yes,2000,24,Male,Yes,No,3
1043,Yes,1998,38,Female,No,Yes,1
1044,Yes,2000,20,Male,No,Yes,4
1045,Yes,1999,22,Male,Yes,Yes,2
1046,No,2000,66,Male,Yes,Yes,2
1047,Yes,1998,24,Male,Yes,Yes,0
1048,Yes,2001,21,Male,No,Yes,2
1049,Yes,2001,18,Male,Yes,Yes,0
1050,Yes,1998,17,Female,Yes,Yes,3
1051,Yes,1998,17,Male,No,Yes,2
1052,No,2000,21,Male,Yes,Yes,4
1053,Yes,2000,21,Male,Yes,Yes,3
1054,Yes,2001,59,Male,Yes,Yes,3
1055,Yes,1998,25,Male,Yes,Yes,0
1056,Yes,1998,45,Male,Yes,Yes,0
1057,Yes,2001,20,Male,Yes,Yes,0
1058,Yes,1998,22,Male,No,Yes,3
1059,Yes,2001,23,Male,Yes,Yes,1
1060,Yes,1998,17,Male,Yes,Yes,0
1061,Yes,1999,30,Male,Yes,No,6
1062,Yes,2000,18,Male,Yes,Yes,4
1063,Yes,2000,44,Male,Yes,Yes,1
1064,Yes,2001,18,Male,Yes,Yes,1
1065,Yes,2000,34,Male,No,Yes,3
1066,Yes,1999,39,Male,Yes,Yes,0
1067,No,1998,21,Male,No,Yes,3
1068,No,2001,16,Male,Yes,Yes,3
1069,No,1999,30,Male,Yes,Yes,4
1070,No,1999,39,Male,No,Yes,5
1071,No,1997,16,Male,No,No,4
1072,Yes,2001,18,Male,Yes,Yes,0
1073,Yes,2001,19,Male,No,No,1
1074,Yes,2000,23,Male,Yes,Yes,3
1075,Yes,1998,39,Male,Yes,Yes,2
1076,Yes,1999,23,Male,Yes,No,4
1077,Yes,1997,16,Male,No,Yes,3
1078,Yes,2001,20,Male,No,Yes,2
1079,Yes,2000,22,Male,Yes,Yes,0
1080,Yes,1999,18,Male,Yes,Yes,0
1081,Yes,2000,21,Male,No,Yes,3
1082,Yes,1999,28,Male,Yes,Yes,0
1083,Yes,1998,26,Male,Yes,Yes,4
1084,No,1999,30,Male,Yes,Yes,1
1085,Yes,2002,21,Male,No,Yes,1
1086,Yes,1999,19,Female,Yes,Yes,2
1087,Yes,1999,37,Male,No,Yes,4
1088,Yes,1999,16,Male,Yes,Yes,0
1089,Yes,1997,20,Male,No,Yes,3
1090,No,2000,17,Male,Yes,Yes,5
1091,Yes,2000,39,Male,Yes,Yes,4
1092,Yes,2000,26,Male,Yes,Yes,3
1093,No,2000,34,Male,Yes,No,0
1094,Yes,2000,38,Male,No,Yes,3
1095,Yes,2001,34,Male,No,Yes,4
1096,Yes,1998,18,Male,Yes,Yes,0
1097,Yes,2000,20,Male,Yes,Yes,2
1098,Yes,2001,25,Male,Yes,Yes,1
1099,Yes,2000,17,Male,Yes,Yes,2
1100,Yes,2001,14,Male,Yes,Yes,1
1101,Yes,1999,23,Male,Yes,Yes,0
1102,Yes,2001,23,Male,Yes,Yes,0
1103,Yes,2001,53,Female,Yes,Yes,0
1104,Yes,1998,28,Male,No,No,1
1105,Yes,2000,17,Male,Yes,Yes,0
1106,Yes,2000,34,Male,Yes,Yes,2
1107,No,2000,41,Male,Yes,Yes,3
1108,Yes,1997,19,Male,Yes,No,2
1109,Yes,2000,18,Male,Yes,Yes,4
1110,Yes,1999,21,Male,Yes,Yes,1
1111,Yes,1998,31,Male,Yes,Yes,3
1112,No,2000,36,Male,Yes,Yes,3
1113,Yes,2001,23,Male,Yes,Yes,0
1114,Yes,1998,17,Male,Yes,Yes,0
1115,Yes,2000,18,Female,Yes,Yes,1
1116,Yes,2000,38,Male,No,Yes,4
1117,Yes,2000,41,Male,No,No,3
1118,Yes,2002,41,Male,Yes,Yes,0
1119,Yes,1999,28,Male,Yes,Yes,0
1120,No,1998,28,Male,No,No,3
1121,Yes,1999,27,Male,Yes,Yes,4
1122,Yes,1999,38,Male,Yes,Yes,2
1123,Yes,1998,18,Male,Yes,Yes,0
1124,No,1999,27,Male,Yes,Yes,0
1125,Yes,1999,21,Male,Yes,Yes,2
1126,Yes,2000,17,Male,Yes,Yes,0
1127,Yes,2000,15,Male,Yes,Yes,0
1128,Yes,2001,25,Male,Yes,Yes,0
1129,Yes,1999,46,Male,Yes,Yes,2
1130,Yes,1997,19,Male,Yes,No,0
1131,Yes,1998,21,Male,Yes,Yes,1
1132,Yes,2002,15,Male,No,Yes,0
1133,Yes,2001,36,Male,Yes,No,1
1134,No,2000,20,Male,No,Yes,4
1135,Yes,1999,24,Male,Yes,No,2
1136,Yes,2000,54,Male,Yes,No,0
1137,Yes,2001,17,Male,Yes,Yes,4
1138,Yes,2000,21,Male,Yes,Yes,0
1139,Yes,1999,18,Male,No,No,0
1140,Yes,1999,27,Male,Yes,Yes,3
1141,No,2001,38,Male,Yes,Yes,3
1142,Yes,2001,25,Male,Yes,Yes,0
1143,Yes,1997,21,Male,No,Yes,3
1144,Yes,1998,19,Female,Yes,Yes,1
1145,Yes,1998,33,Male,Yes,Yes,0
1146,Yes,2000,24,Male,No,Yes,4
1147,Yes,2000,20,Male,Yes,Yes,0
1148,Yes,2000,22,Male,No,Yes,4
1149,Yes,1997,18,Male,Yes,Yes,0
1150,No,2001,19,Male,Yes,Yes,1
1151,Yes,2001,18,Male,Yes,No,1
1152,Yes,2001,18,Male,Yes,Yes,0
1153,Yes,2002,18,Male,Yes,Yes,0
1154,Yes,2001,31,Male,Yes,No,4
1155,Yes,2000,14,Male,Yes,Yes,3
1156,Yes,1997,19,Male,Yes,Yes,0
1157,Yes,2001,22,Male,No,Yes,0
1158,Yes,1999,18,Male,Yes,Yes,0
1159,Yes,1998,20,Male,Yes,Yes,2
1160,No,2001,17,Male,No,Yes,0
1161,Yes,2001,14,Male,Yes,Yes,1
1162,Yes,2002,22,Male,No,Yes,4
1163,Yes,2001,15,Male,Yes,Yes,1
1164,Yes,2001,43,Female,No,Yes,4
1165,Yes,2000,21,Male,Yes,Yes,2
1166,Yes,2000,18,Male,Yes,Yes,0
1167,Yes,2001,28,Male,Yes,Yes,0
1168,Yes,2000,14,Male,Yes,Yes,1
1169,Yes,1999,24,Male,No,No,2
1170,Yes,1999,28,Female,No,Yes,0
1171,Yes,1998,16,Male,Yes,Yes,4
1172,Yes,1999,20,Male,Yes,Yes,2
1173,Yes,2001,28,Male,Yes,Yes,2
1174,Yes,1998,20,Male,Yes,Yes,2
1175,Yes,1997,23,Male,Yes,No,4
1176,Yes,2001,42,Male,No,Yes,4
1177,Yes,2001,17,Male,Yes,Yes,0
1178,No,2000,17,Male,No,Yes,3
1179,Yes,2000,24,Male,Yes,Yes,1
1180,Yes,1998,18,Male,Yes,Yes,4
1181,No,2001,20,Male,Yes,No,0
1182,Yes,2001,45,Male,Yes,Yes,1
1183,Yes,1999,45,Male,Yes,Yes,0
1184,Yes,2002,20,Male,Yes,Yes,0
1185,No,2001,19,Male,Yes,Yes,5
1186,Yes,1999,19,Male,No,Yes,2
1187,Yes,1997,39,Male,No,No,4
1188,No,1999,33,Male,Yes,Yes,0
1189,Yes,2002,23,Male,Yes,Yes,4
1190,Yes,1999,18,Male,No,Yes,0
1191,Yes,2001,15,Male,Yes,Yes,1
1192,Yes,2000,36,Male,Yes,Yes,3
1193,Yes,2002,28,Male,Yes,Yes,1
1194,Yes,1999,37,Male,Yes,Yes,2
1195,Yes,1997,22,Male,Yes,Yes,0
1196,Yes,2000,23,Male,Yes,Yes,0
1197,Yes,2001,26,Female,Yes,Yes,0
1198,Yes,2001,17,Male,Yes,Yes,3
1199,Yes,2000,20,Male,Yes,Yes,1
1200,Yes,2000,18,Male,Yes,Yes,3
1201,Yes,1998,19,Male,Yes,Yes,0
1202,Yes,2002,20,Male,Yes,Yes,4
1203,Yes,2000,17,Male,Yes,Yes,4
1204,Yes,1999,21,Male,Yes,Yes,1
1205,No,2000,15,Male,Yes,Yes,0
1206,No,2000,15,Male,No,Yes,1
1207,Yes,1997,20,Male,No,Yes,3
