"abityé"	"abitje"	"habituer"
"dézankayé"	"dezɑ̃kaje"	"xxx"
"dézankonbré"	"dezɑ̃kɔ̃bʀe"	"encombrer > désencombrer"
"dézankrasé"	"dezɑ̃krase"	"désencrasser (emp par Gide)"
"dézanmélé"	"dezɑ̃mele"	"xxx"
"dézannuyé"	"dezɑ̃nɥije"	"ennuyer > désennuyer"
"dézanragé"	"dezɑ̃ʀaje"	"enrager"
"dézanrimé"	"dezɑ̃ʀime"	"desenrhumer"
"dézantòtiyé"	"dezɑ̃tɔtije"	"désentortiller"
"dézanwoulé"	"dezɑ̃wule"	"désenrouler"
"dézapiyé"	"dezapije"	"appuyer"
"dézaprann"	"dezapʀɑ̃n"	"apprendre > désapprendre"
"dézavantajé"	"dezavɑ̃taʒe"	"avantager > désavantager"
"dézenfekté"	"dezɛ̃fekte"	"infecter > désinfecter"
"dézèrbé"	"dezɛ̃ʀbe"	"herbe > désherber"
"dézisté"	"deziste"	"désister"
"dézobéyi"	"dezobeji"	"obéir > désobéir"
"dézongé"	"dezɔ̃ge"	"xxx"
"dézonoré"	"dezonoʀe"	"honorer > déshonorer"
"dézosé"	"dezose"	"os > désosser"
"di"	"di"	"dire"
"diféransyé"	"difeʀɑ̃sje"	"différencier"
"dijéré"	"diʒeʀe"	"digérer"
"dilapidé"	"dilapide"	"dilapider"
"diminyé"	"diminje"	"diminuer"
"diné"	"dine"	"dîner"
"diré"	"diʀe"	"durer"
"direksyonné"	"diʀεksjɔ̃ne"	"direction"
"diskité"	"diskite"	"discuter"
"diskoupé"	"diskupe"	"xxx"
"disparèt"	"dispaʀεt"	"disparaître"
"dispozé"	"dispoze"	"disposer"
"dispozé 2"	"dispoze"	"disposer"
"distilé"	"distile"	"distiller"
"distribiyé"	"distʀibije"	"distribuer"
"diviné"	"divine"	"deviner"
"divini"	"divini"	"devenir"
"divizé"	"divize"	"diviser"
"divòsé"	"divɔse"	"divorce > divorcer"
"djobé"	"dʒobe"	"xxx"
"dòmi"	"dɔmi"	"dormir"
"donté"	"dɔ̃te"	"dompter"
"dòrloté"	"dɔʀlote"	"dorloter"
"doublé"	"duble"	"doubler"
"doublé 2 var rèdoublé"	"duble"	"doubler"
"douché"	"duʃe"	"douche > doucher"
"dousi"	"dusi"	"doux > adoucir"
"dousiné"	"dusine"	"xxx"
"douté"	"dute"	"douter"
"douwé"	"duwe"	"xxx"
"dozé"	"doze"	"dose > doser"
"dramatizé"	"dʀamatize"	"drame > dramatiser"
"drésé"	"dʀese"	"dresser"
"drésé 2"	"dʀese"	"dresser"
"drésé 3"	"dʀese"	"dresser"
"drivayé"	"dʀivaje"	"xxx"
"drivé"	"dʀive"	"ang drive"
"drogé"	"dʀoge"	"drogue > droguer"
"dwété"	"dwete"	"xxx"
"dyézé"	"djeze"	"dièse"
"èché cf chèché"	"εʃe"	"chercher"
"échwé"	"eʃwe"	"échouer"
"échwé 2"	"eʃwe"	"échouer"
"édiké"	"edike"	"éduquer"
"éfarouché"	"efaruʃe"	"farouche > effaroucher"
"éfasé"	"efase"	"effacer"
"égalizé"	"egalize"	"égal > égaliser"
"égalizé 2"	"egalize"	"égal > égaliser"
"égouté"	"eguté"	"goutte > égoutter"
"égri 2"	"egʀi"	"aigre > aigrir"
"ègzajéré"	"εgzaʒeʀe"	"exagérer"
"ègzaminé"	"εgzamine"	"examen > examiner"
"ékéré"	"ekeʀe"	"équerre > équerrer"
"ékimé"	"ekime"	"écume > écumer"
"éklò"	"eklɔ"	"éclore"
"ékonomizé"	"ekonomize"	"économie >économiser"
"ékri"	"ekʀi"	"écrire"
"èksité"	"εksite"	"exciter"
"èkzilé"	"εkzile"	"exiler"
"èkzisté"	"εkziste"	"exister"
"élèvé var élivé"	"elεve"	"élever"
"élèvé var élivé 2"	"elεve"	"élever"
"éli"	"eli"	"élire"
"élivé cf élèvé"	"elive"	"élever"
"élivé cf élèvé 2"	"elive"	"élever"
"endamnizé"	"ɛ̃dɑ̃mnize"	"indemniser"
"énèrvé"	"enεʀve"	"énerver"
"enfèkté"	"ɛ̃fεkte"	"infecter"
"enfekté 2"	"ɛ̃fεkte"	"infecter"
"enfizé"	"ɛ̃fize"	"infuser"
"enfòrmé"	"ɛ̃fɔʀme"	"informer"
"enkomodé"	"ɛ̃komode"	"incommoder"
"enkyété"	"ɛ̃kjete"	"inquiéter"
"enmé"	"ɛ̃me"	"aimer"
"enploré"	"ɛ̃ploʀe"	"implorer"
"enpozé"	"ɛ̃poze"	"imposer"
"enprovizé"	"ɛ̃pʀovize"	"improviser"
"ensinéré"	"ɛ̃sineʀe"	"incinérer"
"ensisté"	"ɛ̃siste"	"insister"
"enskri"	"ɛ̃skʀi"	"inscrire"
"enspèkté"	"ɛ̃spεkte"	"inspecter"
"enstalé"	"ɛ̃stale"	"installer"
"entèrdi"	"ɛ̃tεʀdi"	"interdire"
"entéré"	"ɑ̃teʀe"	"terre > enterrer"
"entérésé"	"ɛ̃teʀese"	"intérêt > intéresser"
"entérojé"	"ɛ̃teʀoʒε"	"interroger"
"entimidé"	"ɛ̃timide"	"intimider"
"entrigé"	"ɛ̃tʀige"	"intriguer"
"envanté"	"ɛ̃vɑ̃te"	"inventer"
"envité"	"ɛ̃vite"	"inviter"
"envoké"	"ɛ̃voke"	"invoquer"
"éparpiyé"	"epaʀpije"	"éparpiller"
"épési"	"epesi"	"épais > épaissir"
"éplé"	"eple"	"épeler"
"épousté"	"epuste"	"épousseter"
"éraflé"	"eʀafle"	"érafler"
"érityé"	"eʀitje"	"hériter"
"éséyé"	"eseje"	"essayer"
"èskenté"	"εskɛ̃te"	"esquinter"
"èskizé"	"εskize"	"excuser > excuse"
"èskomigné"	"εskomiɲe"	"excommunier"
"ésoré"	"esoʀe"	"essorer"
"èspasé"	"εspase"	"espace > espacer"
"èspédyé"	"εspedje"	"expédier"
"èspéré"	"εspeʀe"	"espérer"
"èspliké"	"εsplike"	"expliquer"
"èspozé"	"εkspoze"	"exposer"
"èspozé 2"	"εspoze"	"exposer"
"èspwaté"	"εspwate"	"exploiter"
"èstimé"	"εstime"	"estimer"
"èstimé 2"	"εstime"	"estimer"
"èstropyé"	"εstʀopje"	"estropier"
"étalé"	"etale"	"étaler"
"étann"	"etɑ̃n"	"étendre"
"étenn"	"etɛ̃n"	"éteindre"
"étèrniyé"	"etεʀnije"	"éternuer"
"éternizé"	"etεʀnize"	"éterniser"
"étidyé"	"etidje"	"étudier"
"étivé"	"etive"	"étuve > étuver"
"étoné"	"etone"	"étonner"
"évaporé"	"evapoʀe"	"évaporer"
"ézité"	"ezite"	"hésiter"
"faché 2"	"faʃe"	"fâcher"
"faké"	"fake"	"xxx"
"falsifyé"	"falsifyé"	"falsifier"
"fann"	"fɑ̃n"	"fendre"
"fann 2"	"fɑ̃n"	"fendre"
"fann kann"	"fɑ̃nkɑ̃n"	"fendre"
"fardé"	"faʀde"	"farder > fard"
"fasadé"	"fasade"	"face"
"fasilité"	"fasilite"	"faciliter"
"favorizé"	"favoʀize"	"favoriser"
"fawouché"	"fawuʃe"	"effaroucher"
"fè"	"fε"	"faire"
"fè bas"	"fεbas"	"faire-basse"
"fè dèyè"	"fεdεjε"	"faire"
"fè fon"	"fεfɔ̃"	"faire"
"fè jé"	"fεʒe"	"faire-jeu"
"fè jès"	"fεʒεs"	"faire"
"fè kò"	"fεkɔ"	"faire"
"fè kokangn"	"fεkokɑ̃ɲ"	"faire"
"fè konplo"	"fεkɔ̃plo"	"complot"
"fè kouyon"	"fεkujɔ̃"	"faire"
"fè lafraz"	"fεlafʀaz"	"faire"
"fè lèd"	"fεlεd"	"faire"
"fè mannèv"	"fεmɑ̃nεv"	"faire"
"fè pach"	"fεpaʃ"	"faire"
"fè vis"	"fεvis"	"faire-vice"
"fè zanmi"	"fεzɑ̃mi"	"faire-amie"
"fébli"	"febli"	"faiblir"
"fékondé"	"fekɔ̃de"	"féconder"
"félisité"	"felisite"	"féliciter"
"fèmé"	"fεme"	"fermer"
"fen 2"	"fɛ̃"	"faim"
"fengnantizé"	"fɛ̃ɲɑ̃tize"	"fainéant > fainéanter"
"fenté"	"fɛ̃te"	"feinte > feinter"
"férayé"	"feʀaje"	"ferrailler"
"féré"	"feʀe"	"fer"
"féré 2"	"feʀe"	"fer > ferrer"
"fésé"	"fese"	"xxx"
"fèt"	"fεt"	"faire"
"fèt 2"	"fεt"	"faire"
"fété"	"fete"	"fête > fêter"
"fèyté"	"fεjte"	"feuille > feuilleter"
"fifiné"	"fifine"	"xxx"
"figiré"	"figiʀe"	"figurer"
"fiksé"	"fikse"	"fixer"
"fiktosé"	"fiktose"	"fly-tox"
"filé"	"file"	"fil > affiler"
"filmé"	"filme"	"filmer"
"filté"	"filte"	"fileter"
"filtré"	"filtʀe"	"filtrer"
"fimé"	"fime"	"fumer"
"fin"	"fin"	"finir"
"fini"	"fini"	"finir"
"flangé"	"flɑ̃ge"	"xxx"
"flaté"	"flate"	"flatter"
"fléché"	"flεʃe"	"flèche"
"flèks"	"flεks"	"xxx"
"fléré"	"fleʀe"	"flairer"
"fléri"	"fleʀi"	"fleur > fleurir"
"flijé"	"fliʒe"	"figer"
"flipé"	"flipe"	"flipper"
"floté"	"flote"	"flotter"
"fofilé"	"fofile"	"faufiler"
"fofilé 2"	"fofile"	"faufiler"
"fonksyonné"	"fɔ̃ktjɔ̃ne"	"fonction > fonctionner"
"fonn"	"fɔ̃n"	"fondre"
"fonsé 1"	"fɔ̃se"	"froncer"
"fòrjé"	"fɔʀʒe"	"forger"
"fòrtifyé"	"fɔʀtifje"	"fortifier"
"fòsé"	"fɔse"	"forcer"
"fotografyé"	"fotogʀafje"	"photographier"
"fotokopyé"	"fotokopje"	"photocopie >photocopier"
"fou 2 var fouté"	"fu"	"foutre"
"fouchté"	"fuʃte"	"fourche >  fourcheter"
"foukan"	"fukɑ̃"	"foutre"
"foulé"	"fule"	"fouler"
"foulé 2"	"fule"	"fouler"
"foulé 3"	"fule"	"fouler"
"foumwalkan"	"fumwalkɑ̃"	"foutre-camp"
"fouré"	"fuʀe"	"fourrer"
"fouté cf fou"	"fute"	"foutre"
"foutélikan cf foukan"	"futelikɑ̃"	"foutre"
"foutémwalkan"	"futemwalkɑ̃"	"foutre"
"fouti"	"futi"	"xxx"
"fouyé"	"fuje"	"fouiller"
"fraksé"	"fʀakse"	"xxx"
"frapé 2"	"fʀape"	"frapper"
"frazé"	"fʀaze"	"phrase"
"frékanté"	"fʀekɑ̃te"	"fréquenter"
"frenné"	"fʀɛ̃ne"	"freiner"
"fri"	"fʀi"	"frire"
"friksyonné"	"fʀiksjɔ̃ne"	"friction > frictionner"
"frimé"	"fʀime"	"frimer"
"frisonné"	"fʀisɔ̃ne"	"frisson > frissonner"
"froté"	"fʀote"	"frotter"
"froté 2"	"fʀote"	"frotter"
"fui"	"fɥi"	"fuir"
"fwèt 1"	"fwεt"	"froid"
"fwiné"	"fwine"	"fouiner"
"fyé"	"fje"	"fier"
"gaché"	"gaʃe"	"gâcher"
"gadé"	"gade"	"regarder"
"gadé 2"	"gade"	"regarder"
"gadé 3"	"gade"	"garder"
"gadé-vwè"	"gadevwε"	"regarder-voir"
"galopé"	"galope"	"galop > galoper"
"gangné"	"gɑ̃ɲe"	"gagner"
"gangné 2"	"gɑ̃ɲe"	"gagner"
"ganmé"	"gɑ̃me"	"gamme"
"ganté"	"gɑ̃te"	"gant > ganter"
"garé"	"gaʀe"	"garer > gare"
"garni"	"gaʀni"	"garnir"
"gaspiyé"	"gaspije"	"gaspiller"
"gaté"	"gate"	"gâter"
"gavé"	"gave"	"gaver"
"gay"	"gaj"	"xxx"
"gazouyé"	"gazuje"	"gazouiller"
"gélé"	"gele"	"gueuler"
"géri"	"geʀi"	"guérir"
"gété"	"gete"	"guetter"
"gidonné"	"gidɔ̃ne"	"guidon"
"giflé"	"ʒifle"	"xxx"
"glingsé"	"gliɲse"	"glisser"
"glorifyé"	"gloʀifje"	"glorifier"
"gnanké"	"ɲɑ̃ke"	"xxx"
"gobé"	"gobe"	"gober"
"gòjété"	"gɔʒete"	"gorge"
"gomé"	"gome"	"gomme > gommer"
"gonflé"	"gɔ̃fle"	"gonfler"
"gonflé 2"	"gɔ̃fle"	"gonfler"
"goudronné"	"gudʀɔ̃ne"	"goudronner"
"goumé"	"gume"	"gourmer"
"gouté"	"gute"	"goûter"
"gouvèné"	"guvεne"	"gouverner"
"gouyé"	"guje"	"grouiller"
"grafigné"	"gʀafiɲe"	"grafigner"
"grajé"	"gʀaʒe"	"xxx"
"grandi"	"gʀɑ̃di"	"grandir"
"grasyé"	"gʀasje"	"gracier"
"graté"	"gʀate"	"gratter"
"gravé"	"gʀave"	"graver"
"gréfé"	"gʀefe"	"greffe > greffer"
"grèloté"	"gʀεlote"	"grelotter"
"grenné"	"gʀɛ̃ne"	"égrener"
"grenpé"	"gʀɛ̃pe"	"grimper"
"grensé"	"gʀɛ̃se"	"grincer"
"grésé"	"gʀese"	"graisser"
"gréziyé"	"gʀezije"	"grésiller"
"grifé"	"gʀife"	"griffe > griffer"
"grifé 2"	"gʀife"	"griffe > griffer"
"grifé 3"	"gʀife"	"griffer > griffer"
"grigné"	"gʀiɲe"	"grigner"
"griji"	"gʀiʒi"	"xxx"
"griji 2"	"gʀiʒi"	"xxx a rapprocher de grajé"
"griyé"	"gʀije"	"griller"
"grosi"	"gʀosi"	"grossir"
"gwenfré"	"gwɛ̃fʀe"	"goinfre > goinfrer"
"haché"	"haʃe"	"hacher"
"haché 2"	"haʃe"	"hacher"
"hanni"	"hɑ̃ni"	"hennir"
"hélé"	"hele"	"héler"
"hisé"	"hise"	"hisser"
"hosé"	"hose"	"hausser"
"iliminé"	"ilimine"	"illuminer"
"imajiné"	"imaʒine"	"imaginer"
"imité"	"imite"	"imiter"
"inogiré"	"inogiʀe"	"inaugurer"
"inondé"	"inɔ̃de"	"inondé"
"inòptizé"	"inɔptize"	"hypnotiser"
"itilizé"	"itilize"	"utiliser"
"izé"	"ize"	"user"
"izolé"	"izolé"	"isoler"
"janbé"	"ʒɑ̃be"	"jambe > enjamber"
"japé"	"ʒape"	"japper"
"jenné"	"ʒɛ̃ne"	"gêner"
"jéré"	"ʒeʀe"	"gérer"
"jété"	"ʒete"	"jeter"
"jété 2"	"ʒete"	"jeter"
"jijé"	"ʒiʒe"	"juger"
"jiré"	"ʒiʀe"	"jurer"
"jistifyé"	"ʒistifje"	"justifier"
"jivré 2"	"ʒivʀe"	"givrer"
"jojé"	"ʒoʒe"	"jauger"
"joni"	"ʒoni"	"jaunir"
"jouké"	"ʒuke"	"joug"
"jouké 2 var  jiké"	"ʒuke"	"jucher"
"jouwé"	"ʒuwe"	"jouer"
"jwenn"	"ʒwɛ̃n"	"joindre"
"jwenn 2"	"ʒwɛ̃n"	"joindre"
"jwi"	"ʒɥi"	"jouir"
"jwi 2"	"ʒɥi"	"jouir"
"kabanné"	"kabɑ̃ne"	"cabane"
"kabanné 2"	"kabɑ̃ne"	"cabane"
"kabosé"	"kabose"	"cabosser"
"kaché"	"kaʃe"	"cacher"
"kachté"	"kaʃte"	"cacheter"
"kajolé"	"kaʒole"	"cajoler"
"kaka"	"kaka"	"caca"
"kalanjé"	"kalɑ̃ʒe"	"xxx"
"kalbanné"	"kalbɑ̃ne"	"xxx"
"kalé"	"kale"	"xxx"
"kalé 2"	"kale"	"caler"
"kalkilé"	"kalkile"	"calculer > calcul"
"kalkilé 2"	"kalkile"	"calculer > calcul"
"kalmé"	"kalme"	"calmer"
"kalpaté"	"kalpaté"	"xxx"
"kanbré"	"kɑ̃bʀe"	"cambrer"
"kanni"	"kãni"	"canir"
"kanpé"	"kɑ̃pe"	"camper"
"kanté"	"kãte"	"cant (reg normand)"
"kapoté"	"kapote"	"capoter"
"kapté"	"kapte"	"capter"
"karanbolé"	"kaʀɑ̃bole"	"caramboler"
"kardé"	"kaʀde"	"carder"
"karé 3"	"kaʀe"	"carrer"
"karésé"	"kaʀese"	"caresser"
"kariyonné"	"kaʀijɔ̃ne"	"carillonner"
"karlé"	"kaʀle"	"carreler"
"kasé"	"kase"	"casser"
"kaskòd"	"kaskɔd"	"casser-corde"
"kaskouté"	"kaskute"	"casse-croûte"
"kastré"	"kastʀe"	"castrer"
"kay"	"kaj"	"aller"
"kayé"	"kaje"	"écaille > écailler"
"kayé 2"	"kaje"	"cailler"
"kayé 4"	"kaje"	"xxx"
"kémandé"	"kemɑ̃de"	"quémander"
"kenbé"	"kɛ̃be"	"tenir"
"kenn"	"kɛ̃n"	"xxx"
"kèsyonné"	"kεksjɔ̃ne"	"question > questionner"
"kilé"	"kile"	"reculer"
"kimé"	"kime"	"écumer"
"kimé 2"	"kime"	"écumer"
"kipé"	"kipe"	"xxx"
"kiré"	"kiʀe"	"curer"
"kité"	"kite"	"quitter"
"klaké"	"klake"	"claquer"
"klasé"	"klase"	"classer"
"kléré"	"kleʀe"	"éclairer"
"kléré 2"	"kleʀe"	"éclairer"
"kléronné"	"kleʀɔ̃ne"	"clairon >claironner"
"klèsi"	"klεsi"	"éclaicir"
"klignoté"	"kliɲote"	"clignoter"
"klimatizé"	"klimatize"	"climatiser"
"kloché"	"kloʃe"	"clocher"
"klouwé"	"kluwe"	"clou > clouer"
"koagilé"	"koagile"	"coaguler"
"kòché"	"kɔʃe"	"écorcher"
"kòché 2"	"kɔʃe"	"écorcher"
"kòché 3"	"kɔʃe"	"écorcher"
"kòchté"	"kɔʃte"	"crochet > crocheter"
"kòchté 2"	"kɔʃte"	"xxx"
"kofré"	"kofʀe"	"coffre >coffrer"
"koké"	"koke"	"xxx"
"kokiné"	"kokine"	"coquiner vieux)"
"kolanké"	"kolɑ̃ke"	"xxx"
"kolasyonné"	"kolasjɔ̃ne"	"collationner"
"kolé"	"kole"	"coller"
"kolèksyonné"	"kolεktjɔ̃ne"	"collection > collectionner"
"kolonizé"	"kolonize"	"colonie > coloniser"
"koloryé"	"koloʀje"	"colorier"
"kòlpòté"	"kɔlpɔte"	"colporter"
"kòlté"	"kɔlte"	"col"
"konbat"	"kɔ̃bat"	"combattre"
"konbiné"	"kɔ̃bine"	"combiner"
"konblé"	"kɔ̃ble"	"combler"
"kondanné"	"kɔ̃dɑ̃ne"	"condamner"
"kondanné 2"	"kɔ̃dɑ̃ne"	"condamner"
"kondisyonné"	"kɔ̃disjɔ̃ne"	"conditionner"
"kondui"	"kɔ̃dɥi"	"conduire"
"kòné"	"kɔne"	"corne"
"konfésé"	"kɔ̃fese"	"confesser"
"konfirmé"	"kɔ̃fiʀme"	"confirmer"
"konfiské"	"kɔ̃fiske"	"confisquer"
"konfonn"	"kɔ̃fɔ̃n"	"confondre"
"konfyé"	"kɔ̃fje"	"confier"
"kongné"	"kɔ̃ɲe"	"cogner"
"kongné 2"	"kɔ̃ɲe"	"cogner"
"kòniflé"	"kɔnifle"	"xxx"
"konjèlé"	"kɔ̃ʒεle"	"congeler"
"konjigé"	"kɔ̃ʒige"	"conjuguer"
"konkasé"	"kɔ̃kase"	"concasser"
"konkòrdé"	"kɔ̃kɔʀde"	"concorder"
"konkouri"	"kɔ̃kuʀi"	"concourir"
"konmandé"	"kɔ̃mɑ̃de"	"commander"
"konmandé 2"	"kɔ̃mɑ̃de"	"commander"
"konmansé"	"kɔ̃mɑ̃se"	"commencer"
"konmigné"	"kɔ̃miɲe"	"communier"
"konnèt"	"kɔ̃nεt"	"connaître"
"konparé"	"kɔ̃paʀe"	"comparer"
"konplété"	"kɔ̃plete"	"complet  >compléter"
"konpliké 2"	"kɔ̃plike"	"compliquer"
"konploté"	"kɔ̃plote"	"comploter"
"konpòrté"	"kɔ̃pɔʀte"	"comporter"
"konpozé"	"kɔ̃poze"	"composer"
"konprann"	"kɔ̃pʀɑ̃n"	"comprendre"
"konpranndèdi"	"kɔ̃pʀɑ̃ndεdi"	"comprendre-dire"
"konpranndi"	"kɔ̃pʀɑ̃ndi"	"comprendre-dire"
"konsèrné"	"kɔ̃sεʀne"	"concerner"
"konséyé 1"	"kɔ̃seje"	"conseiller"
"konsidéré"	"kɔ̃sideʀe"	"considérer"
"konsigné"	"kɔ̃siɲe"	"consigner"
"konsilté"	"kɔ̃silte"	"consulter"
"konsolé"	"kɔ̃sole"	"consoler"
"konsolidé"	"kɔ̃solide"	"consolider"
"konsomé 2"	"kɔ̃some"	"consommer"
"konstaté"	"kɔ̃state"	"constater"
"konstipé"	"kɔ̃stipe"	"constiper"
"konstwi"	"kɔ̃stwi"	"construire"
"kontaminé"	"kɔ̃tamine"	"contaminer"
"kontanplé"	"kɔ̃tɑ̃ple"	"contempler"
"kontanté"	"kɔ̃tɑ̃te"	"content > contenter"
"kontanté 2"	"kɔ̃tɑ̃te"	"contenter"
"konté"	"kɔ̃te"	"compter"
"konté 2"	"kɔ̃te"	"compter"
"konté 3"	"kɔ̃te"	"compter"
"konté rézon"	"kɔ̃teʀezɔ̃"	"raisons (avoir des) picard"
"kontèsté"	"kɔ̃tεste"	"contester"
"kontinyé"	"kɔ̃tinje"	"continuer"
"kontraryé"	"kɔ̃tʀaʀje"	"contrarier"
"kontré cf rankontré"	"kɔ̃tʀe"	"rencontrer"
"kontrèdi"	"kɔ̃tʀεdi"	"contredire"
"kontrolé"	"kɔ̃tʀole"	"contrôle > contrôler"
"konvoké"	"kɔ̃voke"	"convoquer"
"kopyé"	"kopje"	"copier"
"koré"	"koʀe"	"accore>accorer = étayer"
"korèsponn"	"koʀεspɔ̃n"	"correspondre"
"korijé"	"koʀiʒe"	"corriger"
"kòsté  cf akòsté"	"kɔste"	"accoster"
"kotizé"	"kotize"	"cotiser"
"kouché"	"kuʃe"	"coucher"
"koud"	"kud"	"coudre"
"koulé"	"kule"	"couler"
"koulé 2"	"kule"	"couler (ex couler le thé)"
"koulisé"	"kulise"	"coulisser"
"koupé"	"kupe"	"couper"
"koupé 2 cf dékoupé"	"kupe"	"couper"
"koupé 3"	"kupe"	"couper"
"kouri"	"kuʀi"	"courir"
"kouri-alé"	"kuʀiale"	"courir-aller"
"kouri-désann"	"kuʀidesɑ̃n"	"courir-descendre"
"kouri-di"	"kuʀidi"	"courir-dire"
"kouri-kaché"	"kuʀikaʃe"	"courir-cacher"
"kouri-monté"	"kuʀimɔ̃te"	"courir-monter"
"kouri-vini"	"kuʀivini"	"courir-venir"
"kouronné"	"kuʀone"	"couronne > couronner"
"kouté"	"kute"	"écouter"
"kouté 2"	"kute"	"écouter"
"kouté 3"	"kute"	"coûter"
"koutlasé"	"kutlase"	"coutelas"
"kouvé"	"kuve"	"couver"
"kouvè"	"kuvε"	"couvrir"
"kouyonné"	"kujɔ̃ne"	"couillon > couillonner"
"kòviyé"	"kɔvije"	"xxx"
"kowonpi"	"kowɔ̃pi"	"corrompre"
"kozé"	"koze"	"cause >causer"
"kozé 3"	"koze"	"causer"
"kraché"	"kʀaʃe"	"cracher"
"kraké"	"kʀake"	"xxx"
"kraké 2"	"kʀake"	"craquer"
"kranponné"	"kʀɑ̃pɔ̃ne"	"cramponner"
"kravaté"	"kʀavate"	"cravate > cravater"
"krazé"	"kʀaze"	"écraser"
"krenn"	"kʀɛ̃n"	"craindre"
"krépiné"	"kʀepine"	"crépir"
"krévé"	"kʀeve"	"crever"
"krévé 2"	"kʀeve"	"crever"
"kriblé"	"kʀible"	"cribler"
"krispé"	"kʀispe"	"crisper"
"kristalizé"	"kʀistalize"	"cristalliser"
"kritiké"	"kʀitike"	"critique > critiquer"
"kritinizé"	"kʀitinize"	"xxx"
"kriyé"	"kʀije"	"crier > cri"
"kriyé 2"	"kʀije"	"crier > cri"
"krizé"	"kʀize"	"crise"
"kuit"	"kɥit"	"cuire"
"kwafé"	"kwafe"	"coiffer"
"kwaté"	"kwate"	"croix"
"kwazé"	"kwaze"	"croix > croiser"
"kwazé 2"	"kwaze"	"croix > croiser"
"kwazonné"	"kwazɔ̃ne"	"cloison > cloisonner"
"kwè"	"kwε"	"croire"
"kwensé"	"kwɛ̃se"	"coincer"
"kyansé cf tchansé"	"kjɑ̃se"	"xxx"
"kyoké"	"kjoke"	"xxx"
"kyoulé cf rèkilé"	"kjule"	"reculer"
"kyouwé"	"kjuwe"	"tuer"
"kyouyi"	"kjuji"	"cueillir"
"labouré"	"labuʀe"	"labourer"
"laché"	"laʃe"	"lacher"
"lagé"	"lage"	"larguer"
"laji"	"laʒi"	"large > élargir"
"laké"	"lake"	"xxx"
"lanbiné"	"lɑ̃bine"	"lambin > lambiner"
"lang 3"	"lɑ̃g"	"langue"
"langé"	"lɑ̃ge"	"xxx"
"lanké"	"lɑ̃ke"	"ancrer"
"lansé"	"lɑ̃se"	"lancer"
"lapidé"	"lapide"	"lapider"
"lasé"	"lase"	"lacer"
"lasi"	"lasi"	"las"
"lavandé"	"lavɑ̃de"	"lavande"
"lavé"	"lave"	"laver"
"lélé"	"lele"	"xxx"
"lésé"	"lese"	"laisser"
"lésivé"	"lesive"	"lessiver"
"lètché"	"lεtʃe"	"xxx"
"lévé"	"leve"	"lever"
"lévé 2"	"leve"	"lever"
"lévé 3"	"leve"	"lever"
"lévé cho"	"leveʃo"	"lever-chaud"
"lévé konvèsyon"	"levekɔ̃vɛsjɔ̃"	"xxx"
"li"	"li"	"lire"
"libéré"	"libeʀe"	"libérer"
"ligé"	"lige"	"liguer"
"likidé"	"likide"	"liquider"
"limé 2"	"lime"	"allumer"
"limer"	"lime"	"limer"
"liminé cf iliminé"	"limine"	"illuminer"
"lisansyé"	"lisɑ̃sje"	"licencier"
"lité"	"lite"	"lutter > lutte"
"livré"	"livʀe"	"livrer"
"lobé"	"lobe"	"lober"
"loché"	"loʃe"	"locher(fer à cheval prêt à tɔ̃bé)"
"lojé"	"loʒe"	"loger"
"lolé"	"lole"	"xxx"
"longviyé var lonviyé"	"lɔ̃gvije"	"xxx"
"lonjé"	"lɔ̃ʒe"	"long > longer"
"lonji"	"lɔ̃ʒi"	"long"
"lonji 2"	"lɔ̃ʒi"	"long"
"lòrgné"	"lɔʀɲe"	"lorgner"
"losyonné"	"losjɔ̃ne"	"lotionner"
"louché"	"luʃ"	"loucher"
"loudi"	"ludi"	"alourdir"
"louké"	"luke"	"louquer"
"loupé"	"lupe"	"louper"
"loupé 2"	"lupe"	"xxx"
"louwé"	"luwe"	"louer"
"luilé"	"lɥile"	"huiler"
"lyanné"	"ljɑ̃ne"	"liane"
"lyanné 2"	"ljɑ̃ne"	"liane"
"machandé"	"maʃɑ̃de"	"marchander"
"machandé 2"	"maʃɑ̃de"	"marchander"
"maché"	"maʃe"	"mâcher"
"maché 2"	"maʃe"	"marcher"
"maché kochi"	"maʃekoʃi"	"marcher"
"madragé"	"madʀage"	"xxx"
"makayé"	"makaje"	"xxx"
"maké"	"make"	"marque  > marquer"
"maké 2"	"make"	"marquer > marque"
"makiyé"	"makije"	"maquiller"
"makoté"	"makote"	"xxx"
"makrélé"	"makʀele"	"xxx"
"malaksé"	"malakse"	"malaxer"
"malmenné"	"malmɛ̃ne"	"malmener"
"malpalé"	"malpale"	"xxx"
"malpwòpté"	"malpwɔpte"	"malpropreté"
"maltrété"	"maltʀete"	"maltraiter"
"manché"	"mɑ̃ʃe"	"manche > emmancher"
"mandaté"	"mɑ̃date"	"mandater"
"mandé"	"mɑ̃de"	"demander"
"mandyanné"	"mɑ̃djɑ̃ne"	"mendier"
"manganné"	"mɑ̃gɑ̃ne"	"xxx"
"manifèsté"	"manifɛste"	"manifester"
"manjé"	"mɑ̃ʒe"	"manger"
"manjé 3"	"mɑ̃ʒe"	"manger"
"manjé bèk"	"mɑ̃ʒebɛk"	"manger"
"manké"	"mɑ̃ke"	"manquer"
"manké 2"	"mɑ̃ke"	"manquer"
"mannévré"	"mãnevʀe"	"manœuvrer"
